stories_id,publish_date,title,url,language,ap_syndicated,themes,subtopics,inlink_count,facebook_share_count,outlink_count,media_inlink_count,media_id,media_name,media_url
656423279,##########,Senate Committee Invites Head Of Trump Dossier Firm To Testify At Hearing Next Week,http://dailycaller.com/2017/07/12/senate-committee-invites-head-of-trump-dossier-firm-to-testify-at-hearing-next-week/,en,FALSE,"politics and government, law and legislation, united states politics and government, lobbying and lobbyists",,0,45,0,0,18775,Daily Caller,http://dailycaller.com
656112707,##########,Trump Says His Son Is The Victim Of A &#8216;Witch Hunt&#8217;,http://dailycaller.com/2017/07/12/trump-says-his-son-is-the-victim-of-a-witch-hunt/,en,FALSE,"politics and government, united states politics and government",,0,1704,0,0,18775,Daily Caller,http://dailycaller.com
682485818,##########,Dick Morris: VP Pence Has Trump&#8217;s Back&#8230;For Now,http://dailycaller.com/2017/08/30/dick-morris-vp-pence-has-trumps-back-for-now/,en,FALSE,"politics and government, books and literature, united states politics and government",,0,335,0,0,18775,Daily Caller,http://dailycaller.com
713193529,##########,The Link Between Trump Jr. And The Russian Lawyer Is One Funny Guy,http://dailycaller.com/2017/07/11/the-link-between-trump-jr-and-the-russian-lawyer-is-one-funny-guy/,en,FALSE,"recordings (audio), news and news media, media, prostitution",,0,221,0,0,18775,Daily Caller,http://dailycaller.com
683036021,##########,Manafort Memo Raises New Questions About Trump Tower Meeting,http://dailycaller.com/2017/08/31/manafort-memo-raises-new-questions-about-trump-tower-meeting/,en,FALSE,"politics and government, united states politics and government, elections, presidents and presidency (us), ethics",,0,28,0,0,18775,Daily Caller,http://dailycaller.com
713239984,##########,Dow Tanks Over 100 Points After Don Jr. Releases Russia Emails,http://dailycaller.com/2017/07/11/dow-tanks-over-100-points-after-don-jr-releases-russia-emails/,en,FALSE,"finances, stocks and bonds, dow jones stock average",,0,3,0,0,18775,Daily Caller,http://dailycaller.com
747401731,##########,Co-Founder Of Firm Behind Trump-Russia Dossier Will Plead The Fifth - The Daily Caller,http://amp.dailycaller.com/2017/07/22/co-founder-of-firm-behind-trump-russia-dossier-will-plead-the-fifth/,en,FALSE,espionage,,0,5645,0,0,18775,Daily Caller,http://dailycaller.com
670303334,##########,Adam Schiff Wants To Meet With Ex-Spy Who Wrote Trump Dossier [VIDEO],http://dailycaller.com/2017/08/06/adam-schiff-wants-to-meet-with-ex-spy-who-wrote-trump-dossier-video/,en,FALSE,"politics and government, united states politics and government, espionage",,0,983,0,0,18775,Daily Caller,http://dailycaller.com
679353111,##########,Trump Dossier Testimony Could Be Published By Senate Judiciary,http://dailycaller.com/2017/08/24/trump-dossier-testimony-could-be-published-by-senate-judiciary/,en,FALSE,"politics and government, united states politics and government",,0,24,0,0,18775,Daily Caller,http://dailycaller.com
655138988,##########,Conway Defends Previous Russia Denials After Don Jr. Meeting Revelation,http://dailycaller.com/2017/07/10/conway-defends-previous-russia-denials-after-don-jr-meeting-revelation/,en,FALSE,"politics and government, united states politics and government",,0,5,1,0,18775,Daily Caller,http://dailycaller.com
