stories_id,publish_date,title,url,language,ap_syndicated,inlink_count,facebook_share_count,outlink_count,media_inlink_count,media_id,media_name,media_url
797309646,7/11/17 4:55,Trump Jr. Dared To Talk To a Russian Woman,https://www.frontpagemag.com/fpm/267240/trump-jr-dared-talk-russian-woman-matthew-vadum,en,,2,1,0,2,25527,frontpagemag.com,
798114043,7/12/17 4:57,Trump Jr.’s Emails Undermine Collusion Conspiracy Theory,https://www.frontpagemag.com/fpm/267251/trump-jrs-emails-undermine-collusion-conspiracy-matthew-vadum,en,,2,6,1,2,25527,frontpagemag.com,
872677634,7/14/17 4:55,The Curious Case of Natalia Veselnitskaya,https://www.frontpagemag.com/fpm/267277/curious-case-natalia-veselnitskaya-matthew-vadum,en,,1,5,0,1,25527,frontpagemag.com,
656452526,7/12/17 22:40,Why Did Loretta Lynch Grant Trump Jr's Russian Lawyer A Special Visa To Enter America?,http://www.zerohedge.com/news/2017-07-12/why-did-loretta-lynch-grant-trump-jrs-russian-lawyer-special-visa-enter-america,en,,1,12707,0,1,21509,Zero Hedge,
646974782,6/22/17 19:56,James Comey Visits The New York Times,http://www.zerohedge.com/news/2017-06-22/james-comey-visits-new-york-times,en,,1,446,0,1,21509,Zero Hedge,
656299767,7/12/17 15:40,Was Trump Jr Meeting Deep-State Setup For FISA Wiretaps? Russian Atty Hates President & Linked To 'Pissgate' Firm,http://www.zerohedge.com/news/2017-07-12/was-trump-jr-meeting-deep-state-setup-fisa-wiretaps-russian-atty-hates-president-lin,en,,0,692,2,0,21509,Zero Hedge,
655635853,7/11/17 13:15,Meet the Man Who Might Take Down the President: ROB GOLDSTONE,http://www.zerohedge.com/news/2017-07-11/meet-man-who-might-take-down-president-rob-goldstone,en,,0,33,0,0,21509,Zero Hedge,
656654351,7/13/17 6:57,Truth and Trump Are Only Close in the Dictionary,http://www.zerohedge.com/news/2017-07-13/truth-and-trump-are-only-close-dictionary,en,,0,12,0,0,21509,Zero Hedge,
655276405,7/10/17 22:57,Trump Jr. Was Allegedly Told Russian Government Behind Damaging Clinton Info: NYT,http://www.zerohedge.com/news/2017-07-10/trump-jr-was-allegedly-told-russian-government-behind-clinton-info-nyt,en,,0,23,0,0,21509,Zero Hedge,
657138181,7/14/17 2:00,"Oust Trump, War With Russia",http://www.zerohedge.com/news/2017-07-13/oust-trump-war-russia,en,,0,79,2,0,21509,Zero Hedge,
656108521,7/12/17 9:26,"How Hermitage Capital, Ziff Brothers And The Clinton Global Initiative Prompted The Trump Jr. Meeting",http://www.zerohedge.com/news/2017-07-12/how-hermitage-capital-ziff-brothers-and-clinton-global-initiative-prompted-trump-jr-,en,,0,522,0,0,21509,Zero Hedge,
657208328,7/14/17 5:25,SPOOKED: Co-Founder Of Trump-Russia Dossier Firm Cancels Testimony While Lynch Claims Ignorance,http://www.zerohedge.com/news/2017-07-14/spooked-co-founder-trump-russia-dossier-firm-cancels-testimony-while-lynch-claims-ig,en,,0,569,1,0,21509,Zero Hedge,
654771038,7/9/17 22:10,What Russian Journalists Think Of How American Reporters Cover Putin & Trump,http://www.zerohedge.com/news/2017-07-09/what-russian-journalists-think-how-american-reporters-cover-putin-trump,en,,0,45,2,0,21509,Zero Hedge,
654750947,7/9/17 19:23,"Trump's Son Said To Have Met With Russian Lawyer After ""Promise Of Damaging Hillary Info"": NYT",http://www.zerohedge.com/news/2017-07-09/trumps-son-met-russian-lawyer-after-promise-damaging-info-clinton-nyt,en,,0,88,2,0,21509,Zero Hedge,
655136710,7/10/17 14:50,Is Trump Jr. About To Get Hauled Before The Senate Intelligence Committee?,http://www.zerohedge.com/news/2017-07-10/trump-jr-about-get-hauled-senate-intelligence-committee-russia-meeting,en,,0,41,0,0,21509,Zero Hedge,
657488185,7/14/17 13:30,Report: Lynch Tapped Manafort's Phone During Trump Jr. Meeting With Russian Lawyer,http://www.zerohedge.com/news/2017-07-14/report-lynch-tapped-manaforts-phone-during-trump-jr-meeting-russian-lawyer,en,,0,2724,5,0,21509,Zero Hedge,
657389474,7/14/17 10:16,"NBC Reports Former Soviet Intelligence Officer Attended Meeting With Don Jr., But There's A Catch...",http://www.zerohedge.com/news/2017-07-14/former-soviet-counter-intelligence-officer-attended-meeting-don-jr-nbc-news,en,,0,200,0,0,21509,Zero Hedge,
830666632,7/9/17 4:07,How The Deep State Tries To Frame Trump For Meeting With Russian Spies,https://bigleaguepolitics.com/deep-state-tries-frame-trump-meeting-russian-spies/,en,,1,20,1,1,415595,bigleaguepolitics.com,
654744449,7/9/17 19:10,Donald Trump defends Vladimir Putin meeting,http://www.washingtontimes.com/news/2017/jul/9/donald-trump-defends-vladimir-putin-meeting/?utm_source=RSS_Feed&utm_medium=RSS,en,,1,239,0,1,101,Washington Times,
655817190,7/11/17 21:33,The Latest: Senate Judiciary wants info about Russian lawyer,http://www.washingtontimes.com/news/2017/jul/11/the-latest-senate-judiciary-wants-info-about-russi/?utm_source=RSS_Feed&utm_medium=RSS,en,,0,0,0,0,101,Washington Times,
655119039,7/10/17 13:39,Watchdog group says Donald Trump Jr.'s meet with Russian lawyer broke election laws,http://www.washingtontimes.com/news/2017/jul/10/watchdog-trump-jr-meet-russian-lawyer-broke-law/?utm_source=RSS_Feed&utm_medium=RSS,en,,0,622,0,0,101,Washington Times,
657074011,7/13/17 21:16,The collusion accusations continue,http://www.washingtontimes.com/news/2017/jul/13/the-collusion-accusations-continue/?utm_source=RSS_Feed&utm_medium=RSS,en,,0,0,0,0,101,Washington Times,
656934090,7/13/17 14:48,"Broadcasters obsess over Trump Jr., ignore 'Hillary Clinton's Russia-Uranium scandal' study says",http://www.washingtontimes.com/news/2017/jul/13/broadcasters-obsess-over-trump-jr-ignore-hillary-c/?utm_source=RSS_Feed&utm_medium=RSS,en,,0,0,1,0,101,Washington Times,
656246834,7/12/17 13:27,Editorials from around New York,http://www.washingtontimes.com/news/2017/jul/12/editorials-from-around-new-york/?utm_source=RSS_Feed&utm_medium=RSS,en,,0,0,0,0,101,Washington Times,
657597038,7/14/17 16:54,"Pop star, lobbyist: The cast of Trump Russia connections",http://www.washingtontimes.com/news/2017/jul/14/pop-star-lobbyist-the-cast-of-trump-russia-connect/?utm_source=RSS_Feed&utm_medium=RSS,en,,0,0,0,0,101,Washington Times,
656321246,7/12/17 15:17,"Paul Manafort, former Trump campaign manager, in Charles Grassley's crosshairs for testimony",http://www.washingtontimes.com/news/2017/jul/12/grassley-plans-call-paul-manafort-testify/?utm_source=RSS_Feed&utm_medium=RSS,en,,0,1,0,0,101,Washington Times,
654724218,7/9/17 9:47,WH Chief of Staff: Trump did not accept Putin's denial of meddling,http://www.washingtontimes.com/news/2017/jul/9/wh-chief-of-staff-trump-did-not-accept-putins-deni/?utm_source=RSS_Feed&utm_medium=RSS,en,,0,0,0,0,101,Washington Times,
655205477,7/10/17 17:21,Hill panel calls for Donald Trump Jr. to testify on Russia meeting,http://www.washingtontimes.com/news/2017/jul/10/hill-panel-calls-donald-trump-jr-testify-russia/?utm_source=RSS_Feed&utm_medium=RSS,en,,0,6,0,0,101,Washington Times,
655199785,7/10/17 16:33,White House points collusion-seeking reporters toward the Democratic National Committee,http://www.washingtontimes.com/news/2017/jul/10/white-house-points-collusion-seeking-reporters-dnc/?utm_source=RSS_Feed&utm_medium=RSS,en,,0,1050,0,0,101,Washington Times,
656893122,7/13/17 13:56,Chuck Blazer dies after exposing corruption he profited from,http://www.washingtontimes.com/news/2017/jul/13/chuck-blazer-dies-after-exposing-corruption-he-pro/?utm_source=RSS_Feed&utm_medium=RSS,en,,0,0,0,0,101,Washington Times,
662999801,7/12/17 8:00,Why the curious silence from Barack Obama over tapped Trump Tower?,http://www.washingtontimes.com/news/2017/mar/31/why-the-curious-silence-from-barack-obama-over-tap/,en,,0,5397,0,0,101,Washington Times,
1038246439,7/11/17 0:00,Donald Trump Jr. releases email chain from meeting with Russian lawyer,https://www.washingtontimes.com/news/2017/jul/11/donald-trump-jr-releases-email-chain-meet-russian-/,en,,0,0,0,0,101,Washington Times,
657548678,7/14/17 15:15,Editorials from around New England,http://www.washingtontimes.com/news/2017/jul/14/editorials-from-around-new-england/?utm_source=RSS_Feed&utm_medium=RSS,en,,0,1,0,0,101,Washington Times,
